Username,Email,Role,Password
stud_class_10_c_16,student_class_10_c_16@school.com,student,student123
stud_class_10_c_17,student_class_10_c_17@school.com,student,student123
stud_class_10_c_18,student_class_10_c_18@school.com,student,student123
stud_class_10_c_19,student_class_10_c_19@school.com,student,student123
stud_class_10_c_2,student_class_10_c_2@school.com,student,student123
stud_class_10_c_20,student_class_10_c_20@school.com,student,student123
stud_class_10_c_3,student_class_10_c_3@school.com,student,student123
stud_class_10_c_4,student_class_10_c_4@school.com,student,student123
stud_class_10_c_5,student_class_10_c_5@school.com,student,student123
stud_class_10_c_6,student_class_10_c_6@school.com,student,student123
stud_class_10_c_7,student_class_10_c_7@school.com,student,student123
stud_class_10_c_8,student_class_10_c_8@school.com,student,student123
stud_class_10_c_9,student_class_10_c_9@school.com,student,student123
stud_class_10_d_1,student_class_10_d_1@school.com,student,student123
stud_class_10_d_10,student_class_10_d_10@school.com,student,student123
stud_class_10_d_11,student_class_10_d_11@school.com,student,student123
stud_class_10_d_12,student_class_10_d_12@school.com,student,student123
stud_class_10_d_13,student_class_10_d_13@school.com,student,student123
stud_class_10_d_14,student_class_10_d_14@school.com,student,student123
stud_class_10_d_15,student_class_10_d_15@school.com,student,student123
stud_class_10_d_16,student_class_10_d_16@school.com,student,student123
stud_class_10_d_17,student_class_10_d_17@school.com,student,student123
stud_class_10_d_18,student_class_10_d_18@school.com,student,student123
stud_class_10_d_19,student_class_10_d_19@school.com,student,student123
stud_class_10_d_2,student_class_10_d_2@school.com,student,student123
stud_class_10_d_20,student_class_10_d_20@school.com,student,student123
stud_class_10_d_3,student_class_10_d_3@school.com,student,student123
stud_class_10_d_4,student_class_10_d_4@school.com,student,student123
stud_class_10_d_5,student_class_10_d_5@school.com,student,student123
stud_class_10_d_6,student_class_10_d_6@school.com,student,student123
stud_class_10_d_7,student_class_10_d_7@school.com,student,student123
stud_class_10_d_8,student_class_10_d_8@school.com,student,student123
stud_class_10_d_9,student_class_10_d_9@school.com,student,student123
stud_class_10_e_1,student_class_10_e_1@school.com,student,student123
stud_class_10_e_10,student_class_10_e_10@school.com,student,student123
stud_class_10_e_11,student_class_10_e_11@school.com,student,student123
stud_class_10_e_12,student_class_10_e_12@school.com,student,student123
stud_class_10_e_13,student_class_10_e_13@school.com,student,student123
stud_class_10_e_14,student_class_10_e_14@school.com,student,student123
stud_class_10_e_15,student_class_10_e_15@school.com,student,student123
stud_class_10_e_16,student_class_10_e_16@school.com,student,student123
stud_class_10_e_17,student_class_10_e_17@school.com,student,student123
stud_class_10_e_18,student_class_10_e_18@school.com,student,student123
stud_class_10_e_19,student_class_10_e_19@school.com,student,student123
stud_class_10_e_2,student_class_10_e_2@school.com,student,student123
stud_class_10_e_20,student_class_10_e_20@school.com,student,student123
stud_class_10_e_3,student_class_10_e_3@school.com,student,student123
stud_class_10_e_4,student_class_10_e_4@school.com,student,student123
stud_class_10_e_5,student_class_10_e_5@school.com,student,student123
stud_class_10_e_6,student_class_10_e_6@school.com,student,student123
stud_class_10_e_7,student_class_10_e_7@school.com,student,student123
stud_class_10_e_8,student_class_10_e_8@school.com,student,student123
stud_class_10_e_9,student_class_10_e_9@school.com,student,student123
stud_class_1_a_1,student_class_1_a_1@school.com,student,student123
stud_class_1_a_10,student_class_1_a_10@school.com,student,student123
stud_class_1_a_11,student_class_1_a_11@school.com,student,student123
stud_class_1_a_12,student_class_1_a_12@school.com,student,student123
stud_class_1_a_13,student_class_1_a_13@school.com,student,student123
stud_class_1_a_14,student_class_1_a_14@school.com,student,student123
stud_class_1_a_15,student_class_1_a_15@school.com,student,student123
stud_class_1_a_16,student_class_1_a_16@school.com,student,student123
stud_class_1_a_17,student_class_1_a_17@school.com,student,student123
stud_class_1_a_18,student_class_1_a_18@school.com,student,student123
stud_class_1_a_19,student_class_1_a_19@school.com,student,student123
stud_class_1_a_2,student_class_1_a_2@school.com,student,student123
stud_class_1_a_20,student_class_1_a_20@school.com,student,student123
stud_class_1_a_3,student_class_1_a_3@school.com,student,student123
stud_class_1_a_4,student_class_1_a_4@school.com,student,student123
stud_class_1_a_5,student_class_1_a_5@school.com,student,student123
stud_class_1_a_6,student_class_1_a_6@school.com,student,student123
stud_class_1_a_7,student_class_1_a_7@school.com,student,student123
stud_class_1_a_8,student_class_1_a_8@school.com,student,student123
stud_class_1_a_9,student_class_1_a_9@school.com,student,student123
stud_class_1_b_1,student_class_1_b_1@school.com,student,student123
stud_class_1_b_10,student_class_1_b_10@school.com,student,student123
stud_class_1_b_11,student_class_1_b_11@school.com,student,student123
stud_class_1_b_12,student_class_1_b_12@school.com,student,student123
stud_class_1_b_13,student_class_1_b_13@school.com,student,student123
stud_class_1_b_14,student_class_1_b_14@school.com,student,student123
stud_class_1_b_15,student_class_1_b_15@school.com,student,student123
stud_class_1_b_16,student_class_1_b_16@school.com,student,student123
stud_class_1_b_17,student_class_1_b_17@school.com,student,student123
stud_class_1_b_18,student_class_1_b_18@school.com,student,student123
stud_class_1_b_19,student_class_1_b_19@school.com,student,student123
stud_class_1_b_2,student_class_1_b_2@school.com,student,student123
stud_class_1_b_20,student_class_1_b_20@school.com,student,student123
stud_class_1_b_3,student_class_1_b_3@school.com,student,student123
stud_class_1_b_4,student_class_1_b_4@school.com,student,student123
stud_class_1_b_5,student_class_1_b_5@school.com,student,student123
stud_class_1_b_6,student_class_1_b_6@school.com,student,student123
stud_class_1_b_7,student_class_1_b_7@school.com,student,student123
stud_class_1_b_8,student_class_1_b_8@school.com,student,student123
stud_class_1_b_9,student_class_1_b_9@school.com,student,student123
stud_class_1_c_1,student_class_1_c_1@school.com,student,student123
stud_class_1_c_10,student_class_1_c_10@school.com,student,student123
stud_class_1_c_11,student_class_1_c_11@school.com,student,student123
stud_class_1_c_12,student_class_1_c_12@school.com,student,student123
stud_class_1_c_13,student_class_1_c_13@school.com,student,student123
stud_class_1_c_14,student_class_1_c_14@school.com,student,student123
stud_class_1_c_15,student_class_1_c_15@school.com,student,student123
stud_class_1_c_16,student_class_1_c_16@school.com,student,student123
stud_class_1_c_17,student_class_1_c_17@school.com,student,student123
stud_class_1_c_18,student_class_1_c_18@school.com,student,student123
stud_class_1_c_19,student_class_1_c_19@school.com,student,student123
stud_class_1_c_2,student_class_1_c_2@school.com,student,student123
stud_class_1_c_20,student_class_1_c_20@school.com,student,student123
stud_class_1_c_3,student_class_1_c_3@school.com,student,student123
stud_class_1_c_4,student_class_1_c_4@school.com,student,student123
stud_class_1_c_5,student_class_1_c_5@school.com,student,student123
stud_class_1_c_6,student_class_1_c_6@school.com,student,student123
stud_class_1_c_7,student_class_1_c_7@school.com,student,student123
stud_class_1_c_8,student_class_1_c_8@school.com,student,student123
stud_class_1_c_9,student_class_1_c_9@school.com,student,student123
stud_class_1_d_1,student_class_1_d_1@school.com,student,student123
stud_class_1_d_10,student_class_1_d_10@school.com,student,student123
stud_class_1_d_11,student_class_1_d_11@school.com,student,student123
stud_class_1_d_12,student_class_1_d_12@school.com,student,student123
stud_class_1_d_13,student_class_1_d_13@school.com,student,student123
stud_class_1_d_14,student_class_1_d_14@school.com,student,student123
stud_class_1_d_15,student_class_1_d_15@school.com,student,student123
stud_class_1_d_16,student_class_1_d_16@school.com,student,student123
stud_class_1_d_17,student_class_1_d_17@school.com,student,student123
stud_class_1_d_18,student_class_1_d_18@school.com,student,student123
stud_class_1_d_19,student_class_1_d_19@school.com,student,student123
stud_class_1_d_2,student_class_1_d_2@school.com,student,student123
stud_class_1_d_20,student_class_1_d_20@school.com,student,student123
stud_class_1_d_3,student_class_1_d_3@school.com,student,student123
stud_class_1_d_4,student_class_1_d_4@school.com,student,student123
stud_class_1_d_5,student_class_1_d_5@school.com,student,student123
stud_class_1_d_6,student_class_1_d_6@school.com,student,student123
stud_class_1_d_7,student_class_1_d_7@school.com,student,student123
stud_class_1_d_8,student_class_1_d_8@school.com,student,student123
stud_class_1_d_9,student_class_1_d_9@school.com,student,student123
stud_class_1_e_1,student_class_1_e_1@school.com,student,student123
stud_class_1_e_10,student_class_1_e_10@school.com,student,student123
stud_class_1_e_11,student_class_1_e_11@school.com,student,student123
stud_class_1_e_12,student_class_1_e_12@school.com,student,student123
stud_class_1_e_13,student_class_1_e_13@school.com,student,student123
stud_class_1_e_14,student_class_1_e_14@school.com,student,student123
stud_class_1_e_15,student_class_1_e_15@school.com,student,student123
stud_class_1_e_16,student_class_1_e_16@school.com,student,student123
stud_class_1_e_17,student_class_1_e_17@school.com,student,student123
stud_class_1_e_18,student_class_1_e_18@school.com,student,student123
stud_class_1_e_19,student_class_1_e_19@school.com,student,student123
stud_class_1_e_2,student_class_1_e_2@school.com,student,student123
stud_class_1_e_20,student_class_1_e_20@school.com,student,student123
stud_class_1_e_3,student_class_1_e_3@school.com,student,student123
stud_class_1_e_4,student_class_1_e_4@school.com,student,student123
stud_class_1_e_5,student_class_1_e_5@school.com,student,student123
stud_class_1_e_6,student_class_1_e_6@school.com,student,student123
stud_class_1_e_7,student_class_1_e_7@school.com,student,student123
stud_class_1_e_8,student_class_1_e_8@school.com,student,student123
stud_class_1_e_9,student_class_1_e_9@school.com,student,student123
stud_class_2_a_1,student_class_2_a_1@school.com,student,student123
stud_class_2_a_10,student_class_2_a_10@school.com,student,student123
stud_class_2_a_11,student_class_2_a_11@school.com,student,student123
stud_class_2_a_12,student_class_2_a_12@school.com,student,student123
stud_class_2_a_13,student_class_2_a_13@school.com,student,student123
stud_class_2_a_14,student_class_2_a_14@school.com,student,student123
stud_class_2_a_15,student_class_2_a_15@school.com,student,student123
stud_class_2_a_16,student_class_2_a_16@school.com,student,student123
stud_class_2_a_17,student_class_2_a_17@school.com,student,student123
stud_class_2_a_18,student_class_2_a_18@school.com,student,student123
stud_class_2_a_19,student_class_2_a_19@school.com,student,student123
stud_class_2_a_2,student_class_2_a_2@school.com,student,student123
stud_class_2_a_20,student_class_2_a_20@school.com,student,student123
stud_class_2_a_3,student_class_2_a_3@school.com,student,student123
stud_class_2_a_4,student_class_2_a_4@school.com,student,student123
stud_class_2_a_5,student_class_2_a_5@school.com,student,student123
stud_class_2_a_6,student_class_2_a_6@school.com,student,student123
stud_class_2_a_7,student_class_2_a_7@school.com,student,student123
stud_class_2_a_8,student_class_2_a_8@school.com,student,student123
stud_class_2_a_9,student_class_2_a_9@school.com,student,student123
stud_class_2_b_1,student_class_2_b_1@school.com,student,student123
stud_class_2_b_10,student_class_2_b_10@school.com,student,student123
stud_class_2_b_11,student_class_2_b_11@school.com,student,student123
stud_class_2_b_12,student_class_2_b_12@school.com,student,student123
stud_class_2_b_13,student_class_2_b_13@school.com,student,student123
stud_class_2_b_14,student_class_2_b_14@school.com,student,student123
stud_class_2_b_15,student_class_2_b_15@school.com,student,student123
stud_class_2_b_16,student_class_2_b_16@school.com,student,student123
stud_class_2_b_17,student_class_2_b_17@school.com,student,student123
stud_class_2_b_18,student_class_2_b_18@school.com,student,student123
stud_class_2_b_19,student_class_2_b_19@school.com,student,student123
stud_class_2_b_2,student_class_2_b_2@school.com,student,student123
stud_class_2_b_20,student_class_2_b_20@school.com,student,student123
stud_class_2_b_3,student_class_2_b_3@school.com,student,student123
stud_class_2_b_4,student_class_2_b_4@school.com,student,student123
stud_class_2_b_5,student_class_2_b_5@school.com,student,student123
stud_class_2_b_6,student_class_2_b_6@school.com,student,student123
stud_class_2_b_7,student_class_2_b_7@school.com,student,student123
stud_class_2_b_8,student_class_2_b_8@school.com,student,student123
stud_class_2_b_9,student_class_2_b_9@school.com,student,student123
stud_class_2_c_1,student_class_2_c_1@school.com,student,student123
stud_class_2_c_10,student_class_2_c_10@school.com,student,student123
stud_class_2_c_11,student_class_2_c_11@school.com,student,student123
stud_class_2_c_12,student_class_2_c_12@school.com,student,student123
stud_class_2_c_13,student_class_2_c_13@school.com,student,student123
stud_class_2_c_14,student_class_2_c_14@school.com,student,student123
stud_class_2_c_15,student_class_2_c_15@school.com,student,student123
stud_class_2_c_16,student_class_2_c_16@school.com,student,student123
stud_class_2_c_17,student_class_2_c_17@school.com,student,student123
stud_class_2_c_18,student_class_2_c_18@school.com,student,student123
stud_class_2_c_19,student_class_2_c_19@school.com,student,student123
stud_class_2_c_2,student_class_2_c_2@school.com,student,student123
stud_class_2_c_20,student_class_2_c_20@school.com,student,student123
stud_class_2_c_3,student_class_2_c_3@school.com,student,student123
stud_class_2_c_4,student_class_2_c_4@school.com,student,student123
stud_class_2_c_5,student_class_2_c_5@school.com,student,student123
stud_class_2_c_6,student_class_2_c_6@school.com,student,student123
stud_class_2_c_7,student_class_2_c_7@school.com,student,student123
stud_class_2_c_8,student_class_2_c_8@school.com,student,student123
stud_class_2_c_9,student_class_2_c_9@school.com,student,student123
stud_class_2_d_1,student_class_2_d_1@school.com,student,student123
stud_class_2_d_10,student_class_2_d_10@school.com,student,student123
stud_class_2_d_11,student_class_2_d_11@school.com,student,student123
stud_class_2_d_12,student_class_2_d_12@school.com,student,student123
stud_class_2_d_13,student_class_2_d_13@school.com,student,student123
stud_class_2_d_14,student_class_2_d_14@school.com,student,student123
stud_class_2_d_15,student_class_2_d_15@school.com,student,student123
stud_class_2_d_16,student_class_2_d_16@school.com,student,student123
stud_class_2_d_17,student_class_2_d_17@school.com,student,student123
stud_class_2_d_18,student_class_2_d_18@school.com,student,student123
stud_class_2_d_19,student_class_2_d_19@school.com,student,student123
stud_class_2_d_2,student_class_2_d_2@school.com,student,student123
stud_class_2_d_20,student_class_2_d_20@school.com,student,student123
stud_class_2_d_3,student_class_2_d_3@school.com,student,student123
stud_class_2_d_4,student_class_2_d_4@school.com,student,student123
stud_class_2_d_5,student_class_2_d_5@school.com,student,student123
stud_class_2_d_6,student_class_2_d_6@school.com,student,student123
stud_class_2_d_7,student_class_2_d_7@school.com,student,student123
stud_class_2_d_8,student_class_2_d_8@school.com,student,student123
stud_class_2_d_9,student_class_2_d_9@school.com,student,student123
stud_class_2_e_1,student_class_2_e_1@school.com,student,student123
stud_class_2_e_10,student_class_2_e_10@school.com,student,student123
stud_class_2_e_11,student_class_2_e_11@school.com,student,student123
stud_class_2_e_12,student_class_2_e_12@school.com,student,student123
stud_class_2_e_13,student_class_2_e_13@school.com,student,student123
stud_class_2_e_14,student_class_2_e_14@school.com,student,student123
stud_class_2_e_15,student_class_2_e_15@school.com,student,student123
stud_class_2_e_16,student_class_2_e_16@school.com,student,student123
stud_class_2_e_17,student_class_2_e_17@school.com,student,student123
stud_class_2_e_18,student_class_2_e_18@school.com,student,student123
stud_class_2_e_19,student_class_2_e_19@school.com,student,student123
stud_class_2_e_2,student_class_2_e_2@school.com,student,student123
stud_class_2_e_20,student_class_2_e_20@school.com,student,student123
stud_class_2_e_3,student_class_2_e_3@school.com,student,student123
stud_class_2_e_4,student_class_2_e_4@school.com,student,student123
stud_class_2_e_5,student_class_2_e_5@school.com,student,student123
stud_class_2_e_6,student_class_2_e_6@school.com,student,student123
stud_class_2_e_7,student_class_2_e_7@school.com,student,student123
stud_class_2_e_8,student_class_2_e_8@school.com,student,student123
stud_class_2_e_9,student_class_2_e_9@school.com,student,student123
stud_class_3_a_1,student_class_3_a_1@school.com,student,student123
stud_class_3_a_10,student_class_3_a_10@school.com,student,student123
stud_class_3_a_11,student_class_3_a_11@school.com,student,student123
stud_class_3_a_12,student_class_3_a_12@school.com,student,student123
stud_class_3_a_13,student_class_3_a_13@school.com,student,student123
stud_class_3_a_14,student_class_3_a_14@school.com,student,student123
stud_class_3_a_15,student_class_3_a_15@school.com,student,student123
stud_class_3_a_16,student_class_3_a_16@school.com,student,student123
stud_class_3_a_17,student_class_3_a_17@school.com,student,student123
stud_class_3_a_18,student_class_3_a_18@school.com,student,student123
stud_class_3_a_19,student_class_3_a_19@school.com,student,student123
stud_class_3_a_2,student_class_3_a_2@school.com,student,student123
stud_class_3_a_20,student_class_3_a_20@school.com,student,student123
stud_class_3_a_3,student_class_3_a_3@school.com,student,student123
stud_class_3_a_4,student_class_3_a_4@school.com,student,student123
stud_class_3_a_5,student_class_3_a_5@school.com,student,student123
stud_class_3_a_6,student_class_3_a_6@school.com,student,student123
stud_class_3_a_7,student_class_3_a_7@school.com,student,student123
stud_class_3_a_8,student_class_3_a_8@school.com,student,student123
stud_class_3_a_9,student_class_3_a_9@school.com,student,student123
stud_class_3_b_1,student_class_3_b_1@school.com,student,student123
stud_class_3_b_10,student_class_3_b_10@school.com,student,student123
stud_class_3_b_11,student_class_3_b_11@school.com,student,student123
stud_class_3_b_12,student_class_3_b_12@school.com,student,student123
stud_class_3_b_13,student_class_3_b_13@school.com,student,student123
stud_class_3_b_14,student_class_3_b_14@school.com,student,student123
stud_class_3_b_15,student_class_3_b_15@school.com,student,student123
stud_class_3_b_16,student_class_3_b_16@school.com,student,student123
stud_class_3_b_17,student_class_3_b_17@school.com,student,student123
stud_class_3_b_18,student_class_3_b_18@school.com,student,student123
stud_class_3_b_19,student_class_3_b_19@school.com,student,student123
stud_class_3_b_2,student_class_3_b_2@school.com,student,student123
stud_class_3_b_20,student_class_3_b_20@school.com,student,student123
stud_class_3_b_3,student_class_3_b_3@school.com,student,student123
stud_class_3_b_4,student_class_3_b_4@school.com,student,student123
stud_class_3_b_5,student_class_3_b_5@school.com,student,student123
stud_class_3_b_6,student_class_3_b_6@school.com,student,student123
stud_class_3_b_7,student_class_3_b_7@school.com,student,student123
stud_class_3_b_8,student_class_3_b_8@school.com,student,student123
stud_class_3_b_9,student_class_3_b_9@school.com,student,student123
stud_class_3_c_1,student_class_3_c_1@school.com,student,student123
stud_class_3_c_10,student_class_3_c_10@school.com,student,student123
stud_class_3_c_11,student_class_3_c_11@school.com,student,student123
stud_class_3_c_12,student_class_3_c_12@school.com,student,student123
stud_class_3_c_13,student_class_3_c_13@school.com,student,student123
stud_class_3_c_14,student_class_3_c_14@school.com,student,student123
stud_class_3_c_15,student_class_3_c_15@school.com,student,student123
stud_class_3_c_16,student_class_3_c_16@school.com,student,student123
stud_class_3_c_17,student_class_3_c_17@school.com,student,student123
stud_class_3_c_18,student_class_3_c_18@school.com,student,student123
stud_class_3_c_19,student_class_3_c_19@school.com,student,student123
stud_class_3_c_2,student_class_3_c_2@school.com,student,student123
stud_class_3_c_20,student_class_3_c_20@school.com,student,student123
stud_class_3_c_3,student_class_3_c_3@school.com,student,student123
stud_class_3_c_4,student_class_3_c_4@school.com,student,student123
stud_class_3_c_5,student_class_3_c_5@school.com,student,student123
stud_class_3_c_6,student_class_3_c_6@school.com,student,student123
stud_class_3_c_7,student_class_3_c_7@school.com,student,student123
stud_class_3_c_8,student_class_3_c_8@school.com,student,student123
stud_class_3_c_9,student_class_3_c_9@school.com,student,student123
stud_class_3_d_1,student_class_3_d_1@school.com,student,student123
stud_class_3_d_10,student_class_3_d_10@school.com,student,student123
stud_class_3_d_11,student_class_3_d_11@school.com,student,student123
stud_class_3_d_12,student_class_3_d_12@school.com,student,student123
stud_class_3_d_13,student_class_3_d_13@school.com,student,student123
stud_class_3_d_14,student_class_3_d_14@school.com,student,student123
stud_class_3_d_15,student_class_3_d_15@school.com,student,student123
stud_class_3_d_16,student_class_3_d_16@school.com,student,student123
stud_class_3_d_17,student_class_3_d_17@school.com,student,student123
stud_class_3_d_18,student_class_3_d_18@school.com,student,student123
stud_class_3_d_19,student_class_3_d_19@school.com,student,student123
stud_class_3_d_2,student_class_3_d_2@school.com,student,student123
stud_class_3_d_20,student_class_3_d_20@school.com,student,student123
stud_class_3_d_3,student_class_3_d_3@school.com,student,student123
stud_class_3_d_4,student_class_3_d_4@school.com,student,student123
stud_class_3_d_5,student_class_3_d_5@school.com,student,student123
stud_class_3_d_6,student_class_3_d_6@school.com,student,student123
stud_class_3_d_7,student_class_3_d_7@school.com,student,student123
stud_class_3_d_8,student_class_3_d_8@school.com,student,student123
stud_class_3_d_9,student_class_3_d_9@school.com,student,student123
stud_class_3_e_1,student_class_3_e_1@school.com,student,student123
stud_class_3_e_10,student_class_3_e_10@school.com,student,student123
stud_class_3_e_11,student_class_3_e_11@school.com,student,student123
stud_class_3_e_12,student_class_3_e_12@school.com,student,student123
stud_class_3_e_13,student_class_3_e_13@school.com,student,student123
stud_class_3_e_14,student_class_3_e_14@school.com,student,student123
stud_class_3_e_15,student_class_3_e_15@school.com,student,student123
stud_class_3_e_16,student_class_3_e_16@school.com,student,student123
stud_class_3_e_17,student_class_3_e_17@school.com,student,student123
stud_class_3_e_18,student_class_3_e_18@school.com,student,student123
stud_class_3_e_19,student_class_3_e_19@school.com,student,student123
stud_class_3_e_2,student_class_3_e_2@school.com,student,student123
stud_class_3_e_20,student_class_3_e_20@school.com,student,student123
stud_class_3_e_3,student_class_3_e_3@school.com,student,student123
stud_class_3_e_4,student_class_3_e_4@school.com,student,student123
stud_class_3_e_5,student_class_3_e_5@school.com,student,student123
stud_class_3_e_6,student_class_3_e_6@school.com,student,student123
stud_class_3_e_7,student_class_3_e_7@school.com,student,student123
stud_class_3_e_8,student_class_3_e_8@school.com,student,student123
stud_class_3_e_9,student_class_3_e_9@school.com,student,student123
stud_class_4_a_1,student_class_4_a_1@school.com,student,student123
stud_class_4_a_10,student_class_4_a_10@school.com,student,student123
stud_class_4_a_11,student_class_4_a_11@school.com,student,student123
stud_class_4_a_12,student_class_4_a_12@school.com,student,student123
stud_class_4_a_13,student_class_4_a_13@school.com,student,student123
stud_class_4_a_14,student_class_4_a_14@school.com,student,student123
stud_class_4_a_15,student_class_4_a_15@school.com,student,student123
stud_class_4_a_16,student_class_4_a_16@school.com,student,student123
stud_class_4_a_17,student_class_4_a_17@school.com,student,student123
stud_class_4_a_18,student_class_4_a_18@school.com,student,student123
stud_class_4_a_19,student_class_4_a_19@school.com,student,student123
stud_class_4_a_2,student_class_4_a_2@school.com,student,student123
stud_class_4_a_20,student_class_4_a_20@school.com,student,student123
stud_class_4_a_3,student_class_4_a_3@school.com,student,student123
stud_class_4_a_4,student_class_4_a_4@school.com,student,student123
stud_class_4_a_5,student_class_4_a_5@school.com,student,student123
stud_class_4_a_6,student_class_4_a_6@school.com,student,student123
stud_class_4_a_7,student_class_4_a_7@school.com,student,student123
stud_class_4_a_8,student_class_4_a_8@school.com,student,student123
stud_class_4_a_9,student_class_4_a_9@school.com,student,student123
stud_class_4_b_1,student_class_4_b_1@school.com,student,student123
stud_class_4_b_10,student_class_4_b_10@school.com,student,student123
stud_class_4_b_11,student_class_4_b_11@school.com,student,student123
stud_class_4_b_12,student_class_4_b_12@school.com,student,student123
stud_class_4_b_13,student_class_4_b_13@school.com,student,student123
stud_class_4_b_14,student_class_4_b_14@school.com,student,student123
stud_class_4_b_15,student_class_4_b_15@school.com,student,student123
stud_class_4_b_16,student_class_4_b_16@school.com,student,student123
stud_class_4_b_17,student_class_4_b_17@school.com,student,student123
stud_class_4_b_18,student_class_4_b_18@school.com,student,student123
stud_class_4_b_19,student_class_4_b_19@school.com,student,student123
stud_class_4_b_2,student_class_4_b_2@school.com,student,student123
stud_class_4_b_20,student_class_4_b_20@school.com,student,student123
stud_class_4_b_3,student_class_4_b_3@school.com,student,student123
stud_class_4_b_4,student_class_4_b_4@school.com,student,student123
stud_class_4_b_5,student_class_4_b_5@school.com,student,student123
stud_class_4_b_6,student_class_4_b_6@school.com,student,student123
stud_class_4_b_7,student_class_4_b_7@school.com,student,student123
stud_class_4_b_8,student_class_4_b_8@school.com,student,student123
stud_class_4_b_9,student_class_4_b_9@school.com,student,student123
stud_class_4_c_1,student_class_4_c_1@school.com,student,student123
stud_class_4_c_10,student_class_4_c_10@school.com,student,student123
stud_class_4_c_11,student_class_4_c_11@school.com,student,student123
stud_class_4_c_12,student_class_4_c_12@school.com,student,student123
stud_class_4_c_13,student_class_4_c_13@school.com,student,student123
stud_class_4_c_14,student_class_4_c_14@school.com,student,student123
stud_class_4_c_15,student_class_4_c_15@school.com,student,student123
stud_class_4_c_16,student_class_4_c_16@school.com,student,student123
stud_class_4_c_17,student_class_4_c_17@school.com,student,student123
stud_class_4_c_18,student_class_4_c_18@school.com,student,student123
stud_class_4_c_19,student_class_4_c_19@school.com,student,student123
stud_class_4_c_2,student_class_4_c_2@school.com,student,student123
stud_class_4_c_20,student_class_4_c_20@school.com,student,student123
stud_class_4_c_3,student_class_4_c_3@school.com,student,student123
stud_class_4_c_4,student_class_4_c_4@school.com,student,student123
stud_class_4_c_5,student_class_4_c_5@school.com,student,student123
stud_class_4_c_6,student_class_4_c_6@school.com,student,student123
stud_class_4_c_7,student_class_4_c_7@school.com,student,student123
stud_class_4_c_8,student_class_4_c_8@school.com,student,student123
stud_class_4_c_9,student_class_4_c_9@school.com,student,student123
stud_class_4_d_1,student_class_4_d_1@school.com,student,student123
stud_class_4_d_10,student_class_4_d_10@school.com,student,student123
stud_class_4_d_11,student_class_4_d_11@school.com,student,student123
stud_class_4_d_12,student_class_4_d_12@school.com,student,student123
stud_class_4_d_13,student_class_4_d_13@school.com,student,student123
